Brand,Model,Score,Price,Type
LG,LTC220220S,67,945,Top-Freezer
LG,LTCS24223S,66,1080,Top-Freezer
Maytag,MRT311FFFM,65,855,Top-Freezer
Whirlpool,WRT549SZDM,63,810,Top-Freezer
GE,GTE15CTHRWW,63,540,Top-Freezer
LG,LDC24370ST,85,1620,Bottom-Freezer
Kenmore,79043,85,1300,Bottom-Freezer
Kenmore,79023,84,2000,Bottom-Freezer
Kenmore,69313,80,700,Bottom-Freezer
GE,GDE21ESKSS,73,1485,Bottom-Freezer
Samsung,RF28HDEDPWW,86,2500,Three-Door
LG,LFC24770ST,85,1710,Three-Door
Kenmore,74093,85,4300,Three-Door
Blomberg,BRFT1522SS,69,1000,Top-Freezer
Samsung,RT21M6215SG,69,1080,Top-Freezer
Samsung,RT18M6215SG,68,855,Top-Freezer
Thermador,T36BT810NS,83,8000,Built-In
Miele,KF1903SF,83,8600,Built-In
Thermador,T30BB820SS,81,7000,Built-In
Bosch,B30BB830SS,81,6500,Built-In
Jenn-Air,JF42NXFXDE,80,8500,Built-In
Thermador,T36BB920SS,80,7400,Built-In
KitchenAid,KBFN502ESS,79,9000,Built-In
Bosch,B36BT830NS,78,7500,Built-In
KitchenAid,KBBR306ESS,78,8200,Built-In
Jenn-Air,JB36NXFXRE,78,7400,Built-In
GE,ZICP360NHRH,76,7100,Built-In
Liebherr,CS2060,76,5000,Built-In
LG,LSSB2791[ST],75,8500,Built-In
GE,ZIPP360NHSS,74,8500,Built-In
Dacor,DYF36BFTSR,73,8000,Built-In
Liebherr,CS2062,73,5300,Built-In
Viking,VCBB5363ERSS,72,9050,Built-In
Samsung,RS27FDBTNSR,72,6570,Built-In
KitchenAid,KBFN406ESS,72,8500,Built-In
Jenn-Air,JF36NXFXDE,72,8000,Built-In
Sub-Zero,BI-42UFD/S,72,9800,Built-In
Samsung,RF22K9381SR,82,3000,French-Door
Samsung,RF23M8070SR,82,3550,French-Door
Samsung,RF28K9070SR,82,2600,French-Door
Samsung,RF23M8570SG,80,3800,French-Door
LG,LUPXS3186N,80,7485,French-Door
LG,LMXS30786S,80,3330,French-Door
GE,PSS28KSHSS,79,1980,Side-By-Size
Samsung,RS25H5121SR,78,1600,Side-By-Size
Samsung,RS25J500DSR,78,1000,Side-By-Size
Samsung,RH25H5611SR,75,1500,Side-By-Size
LG,LSXS26366S,75,1620,Side-By-Size
